epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.753,1.07373,2.47894,1.46007,0.53289,0.47547,0.48426,0.30318,1.18085,2.51338,1.53801,0.000552473,0.000552473,0.000552473
2,1178,1.16894,2.08829,1.56772,0.57986,0.51003,0.51522,0.33045,1.27721,2.0843,1.62385,0.000998434,0.000998434,0.000998434
3,1698.4,1.21241,1.88326,1.60289,0.55516,0.51363,0.52284,0.32977,1.30214,2.01419,1.69614,0.00133437,0.00133437,0.00133437
4,2207.57,1.17375,1.68503,1.57978,0.5977,0.54135,0.55829,0.3612,1.28524,1.66226,1.62755,0.0011719,0.0011719,0.0011719
5,2725.37,1.13334,1.55025,1.53751,0.64507,0.54883,0.56368,0.36008,1.2125,1.59894,1.56683,0.00100687,0.00100687,0.00100687
6,3228.43,1.09235,1.46467,1.49605,0.64635,0.544,0.58396,0.38617,1.20064,1.50676,1.56075,0.000841835,0.000841835,0.000841835
7,3734.03,1.0294,1.36192,1.45034,0.63839,0.55657,0.58849,0.39767,1.1406,1.46774,1.51206,0.000676802,0.000676802,0.000676802
8,4238.6,0.99086,1.28594,1.42515,0.67528,0.56005,0.58864,0.40276,1.1464,1.42966,1.48031,0.000511769,0.000511769,0.000511769
9,4755.02,0.92596,1.21353,1.35704,0.61511,0.59822,0.58753,0.3993,1.09901,1.394,1.45641,0.000346736,0.000346736,0.000346736
10,5265.58,0.88267,1.15982,1.34123,0.66012,0.59976,0.6107,0.431,1.07647,1.344,1.43503,0.000181703,0.000181703,0.000181703
